phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,model_name,encoder_name,strategy_name,component_strategies,augmentation_mode,synthetic_copy_count,image_size,batch_size,learning_rate,weight_decay,val_mean_foreground_dice
train,2,0.317044704177815,0.776277147203278,0.6902768204528343,0.107722481994877,3822,478,164.40726270899177,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,2,0.2318953611110819,0.7769072749899641,0.7007839788427321,0.0973954036430882,725,91,24.48340936901513,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7388456269163481
train,3,0.174598779940655,0.8262159093457433,0.7353827252364815,0.089606406986974,3822,478,163.70357069699094,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,3,0.1903710739160406,0.7911841269260932,0.7265143785307016,0.0889959095435119,725,91,25.470030926982872,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7588492527283974
train,4,0.1409346983889395,0.8489427506136062,0.762059913673927,0.0819017854027293,3822,478,163.8653668150073,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.1334272219394815,0.8504316238719068,0.8008119174998135,0.0650280945335397,725,91,25.38142842799425,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8256217706858602
train,5,0.1264578286794266,0.8618487612690929,0.7804834764784407,0.0738629487415905,3822,478,164.217269131972,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.1501460780151959,0.8271646030247954,0.7749220696379713,0.0676805080609359,725,91,24.70597031601937,,combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8010433363313834
train,1,0.9988383959407646,0.5450958233419548,0.48047989088849546,0.2936905992652077,3822,478,183.8775022419868,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,1,0.6418069503636196,0.4263583234964463,0.25179779195356444,0.3031342473687108,725,91,27.00188672397053,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.3390780577250054
train,2,0.2980090420964125,0.773794624177081,0.6915224275339343,0.10930636439530793,3822,478,176.04250325099565,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,2,0.2047629179214609,0.8003875214719097,0.7423736971882283,0.09577798190480266,725,91,26.721519990998786,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.771380609330069
train,3,0.1749072426248757,0.8242222082491419,0.7334548955287732,0.0912719563357435,3822,478,178.02195854100864,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,3,0.18926985041848546,0.7906272562240971,0.7147526383072205,0.10377107006140973,725,91,26.225075180991553,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7526899472656587
train,4,0.14281470324280748,0.8459606312660715,0.7625638558249221,0.07985986708437595,3822,478,177.1616867450066,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.14103127629592502,0.8364424671441228,0.7926959853100619,0.06688371328425444,725,91,25.99830405198736,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8145692262270924
train,5,0.12873593779804193,0.8581064510594371,0.7806646629655617,0.07453098253069594,3822,478,176.62981317698723,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.13186997775373788,0.8461586774468797,0.804298178376538,0.06568715401499119,725,91,26.147942177020013,,combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8252284279117088
